seller_id,seller_name,region_id,shop_url,extracted_link
8649154846689560275,Tinyviewcam,SG,https://echotik.live/shops/8649154846689560275,https://www.tiktok.com/@tinydcsg
8647741354925131733,ระบายสีตามตัวเลข,TH,https://echotik.live/shops/8647741354925131733,https://www.tiktok.com/@acandyl.th
7496139150459046870,AHLUAN667,TH,https://echotik.live/shops/7496139150459046870,https://www.tiktok.com/@zh90905
7494920336375711988,HAIICE HOME,TH,https://echotik.live/shops/7494920336375711988,https://www.tiktok.com/@haixinhome01
8647117535058298478,COVET,VN,https://echotik.live/shops/8647117535058298478,https://www.tiktok.com/@covet.vn
7495792879525726691,li jin hui,MY,https://echotik.live/shops/7495792879525726691,https://www.tiktok.com/@jwdwuxgmr35310
8646923823884960898,XIsky,MY,https://echotik.live/shops/8646923823884960898,https://www.tiktok.com/@rongzongwen3
8647064029492905327,LEFIGHT SPORTS,VN,https://echotik.live/shops/8647064029492905327,https://www.tiktok.com/@lefight_vn2
8646921741122963346,XIXIU,PH,https://echotik.live/shops/8646921741122963346,https://www.tiktok.com/@xixiu90
8647125527542598415,NUOGUO GLASSES,MY,https://echotik.live/shops/8647125527542598415,https://www.tiktok.com/@nuogubafhv4
7495919550310353381,Luna women's clothing,MY,https://echotik.live/shops/7495919550310353381,https://www.tiktok.com/@lunawomens.clothi
8648287544893605887,BURUITE SPORT,TH,https://echotik.live/shops/8648287544893605887,https://www.tiktok.com/@buruite_th
7495006542758447881,Dalwa Eyewear,MY,https://echotik.live/shops/7495006542758447881,https://www.tiktok.com/@outdoor_eyewear
8647443990997599760,Hardware tool accessories,VN,https://echotik.live/shops/8647443990997599760,https://www.tiktok.com/@hardware.tools0
7495817883375143678,Live Star Home,MY,https://echotik.live/shops/7495817883375143678,https://www.tiktok.com/@yifan753
8646922165782940461,EdenStudio-PH,PH,https://echotik.live/shops/8646922165782940461,https://www.tiktok.com/@edenstudio_ph
8647392017475666972,Futuremall,PH,https://echotik.live/shops/8647392017475666972,https://www.tiktok.com/@alinmm99
8647623118240777579,Again.I,VN,https://echotik.live/shops/8647623118240777579,https://www.tiktok.com/@free19403
8648040114093262679,CQ Chic Jewelry,TH,https://echotik.live/shops/8648040114093262679,https://www.tiktok.com/@cq.chic.jewelry.0
8648866132793197797,Mcwalk-Meetime store,PH,https://echotik.live/shops/8648866132793197797,https://www.tiktok.com/@mcwalk.exclusive
8648468127158600834,Janest888-PH,PH,https://echotik.live/shops/8648468127158600834,https://www.tiktok.com/@janestcorset
7495468076092263276,YE Bag,MY,https://echotik.live/shops/7495468076092263276,https://www.tiktok.com/@heijdbdj6
8648139148412683511,starlight.glasses,TH,https://echotik.live/shops/8648139148412683511,https://www.tiktok.com/@starlight.glasses
7495754791395231915,MORCART,MY,https://echotik.live/shops/7495754791395231915,https://www.tiktok.com/@amzah.home
8646926264104421320,SitaNita,TH,https://echotik.live/shops/8646926264104421320,https://www.tiktok.com/@sita._nita
7495151453477898437,ROVSKI,MY,https://echotik.live/shops/7495151453477898437,https://www.tiktok.com/@rovski123
8646922565186127204,TOBEU SKINCARE VN,VN,https://echotik.live/shops/8646922565186127204,https://www.tiktok.com/@tobeuofficialvn
7495796274541070785,Simple and fashionable,MY,https://echotik.live/shops/7495796274541070785,https://www.tiktok.com/@simpleandfashionable
8647015280811149121,Monjanailstyle,TH,https://echotik.live/shops/8647015280811149121,https://www.tiktok.com/@monja.th
8649264046390871057,NOMIZO,VN,https://echotik.live/shops/8649264046390871057,https://www.tiktok.com/@minanono0405
8647174273521911174,See Sarn Krapao,TH,https://echotik.live/shops/8647174273521911174,https://www.tiktok.com/@bag.004
7495012614177459050,YJML,MY,https://echotik.live/shops/7495012614177459050,https://www.tiktok.com/@my3c5
8647117533509355492,ZTT,PH,https://echotik.live/shops/8647117533509355492,https://www.tiktok.com/@9239mamo
